_id,experience,location,salary,search_type,skills,title,url
643b9a20d01321d35da3b06b,2-5 Yrs,"[""Mumbai""]",Not disclosed,PowerPoint,"[""Powerpoint"",""office"",""design"",""presales"",""sales"",""excel"",""microsoft"",""data visualization""]",Powerpoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-capgemini-technology-services-india-limited-mumbai-2-to-5-years-120423908472
643b9a20d01321d35da3b06c,3-8 Yrs,"[""Bangalore/Bengaluru(9th Block Jayanagar)""]",Not disclosed,PowerPoint,"[""Corporate Presentations"",""power point presentation"",""ms office word"",""presentation design"",""google"",""adobe"",""graphic designing"",""ms office powerpoint""]",School Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-school-powerpoint-presentation-specialist-jain-group-of-institutions-bangalore-bengaluru-3-to-8-years-170323007181
643b9a20d01321d35da3b06d,2-7 Yrs,"[""New Delhi"",""Gurgaon/Gurugram"",""Delhi / NCR""]",Not disclosed,PowerPoint,"[""Power Point Presentation"",""Powerpoint"",""illustrator"",""corel"",""office"",""presentation skills"",""microsoft"",""presentation""]",PowerPoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-windows-consultants-new-delhi-gurgaon-gurugram-delhi-ncr-2-to-7-years-100423006010
643b9a20d01321d35da3b06e,3-6 Yrs,"[""Delhi / NCR""]",Not disclosed,PowerPoint,"[""PowerPoint Specialist"",""Proposal Documents"",""Power Point Expert"",""Power Point Presentation"",""microsoft"",""powerpoint"",""business presentations"",""ms office powerpoint""]",Powerpoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-windows-consultants-delhi-ncr-3-to-6-years-120423009761
643b9a20d01321d35da3b06f,2-7 Yrs,"[""Permanent Remote""]",3-3.75 Lacs PA,PowerPoint,"[""PowerPoint"",""power point presentation"",""visual"",""presentation"",""PowerPoint Presentation"",""PowerPoint Specialist"",""Visual Specialist""]",Visual / PowerPoint Presentation Specialist (2+ Years) @ Prezentium!,https://www.naukri.com/job-listings-visual-powerpoint-presentation-specialist-2-years-prezentium-singh-tech-services-mumbai-all-areas-2-to-7-years-111022011613
643b9a20d01321d35da3b070,1-5 Yrs,"[""Hyderabad/Secunderabad"",""Chennai"",""Bangalore/Bengaluru""]",Not disclosed,PowerPoint,"[""excel"",""power point presentation"",""Business Writing"",""Powerpoint"",""english language"",""editing"",""presentation"",""data validation""]",Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-powerpoint-presentation-specialist-zyclyx-consulting-services-hyderabad-secunderabad-chennai-bangalore-bengaluru-1-to-5-years-300323910950
643b9a20d01321d35da3b071,3-5 Yrs,"[""Hybrid - Chennai""]",4-5 Lacs PA,PowerPoint,"[""power point presentation"",""presentation design"",""office"",""presentation skills"",""microsoft"",""presentation"",""powerpoint"",""ms office""]",Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-powerpoint-presentation-specialist-we-are-amnet-chennai-3-to-5-years-230323003477
643b9a20d01321d35da3b072,3-5 Yrs,"[""Mumbai (All Areas)""]",4-5 Lacs PA,PowerPoint,"[""power point presentation"",""presentation"",""ms office"",""business presentations"",""ms office powerpoint"",""corporate presentations"",""office"",""presentation skills""]",Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-powerpoint-presentation-specialist-we-are-amnet-mumbai-all-areas-3-to-5-years-230323003537
643b9a20d01321d35da3b073,3-8 Yrs,"[""Gurgaon/Gurugram""]",Not disclosed,PowerPoint,"[""Powerpoint"",""power point presentation"",""presentation skills"",""corporate presentations"",""presentation"",""business presentations"",""excel powerpoint"",""excel""]",Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-powerpoint-presentation-specialist-egis-gurgaon-gurugram-3-to-8-years-250323006380
643b9a20d01321d35da3b074,1-4 Yrs,"[""Hyderabad/Secunderabad""]",Not disclosed,PowerPoint,"[""Power Point"",""iconography"",""excel"",""alignment"",""powerpoint"",""power point presentation"",""formatting"",""basic""]",Powerpoint Presentation Specialist,https://www.naukri.com/job-listings-powerpoint-presentation-specialist-zyclyx-consulting-services-hyderabad-secunderabad-1-to-4-years-300323910942
643b9a20d01321d35da3b075,4-8 Yrs,"[""Delhi / NCR(Sector-62 Noida)""]",5-12 Lacs PA,PowerPoint,"[""Power Point Presentation"",""powerpoint"",""presentation""]",Powerpoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-support-star-corporate-delhi-ncr-4-to-8-years-200323004642
643b9a20d01321d35da3b076,3-5 Yrs,"[""Bangalore/Bengaluru(Koramangala)""]",4-5 Lacs PA,PowerPoint,"[""Infographics"",""Illustrator"",""Powerpoint"",""Adobe"",""Indesign"",""design"",""graphics"",""word""]",Creative PowerPoint Specialist,https://www.naukri.com/job-listings-creative-powerpoint-specialist-honeycomb-creative-support-bangalore-bengaluru-3-to-5-years-290323010163
643b9a20d01321d35da3b077,1-2 Yrs,"[""Hyderabad/Secunderabad""]",3.5-4.75 Lacs PA,PowerPoint,"[""presentation"",""powerpoint"",""power point presentation""]",Powerpoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-nxtwave-disruptive-technologies-hyderabad-secunderabad-1-to-2-years-160323005370
643b9a20d01321d35da3b078,2-4 Yrs,"[""Hyderabad/Secunderabad""]",Not disclosed,PowerPoint,"[""MS Office suite"",""Powerpoint"",""presentation"",""presentation skills"",""ms office"",""microsoft"",""office"",""Presentation Specialist""]",Presentation Specialist,https://www.naukri.com/job-listings-presentation-specialist-capgemini-hyderabad-secunderabad-2-to-4-years-130423904559
643b9a20d01321d35da3b079,0-3 Yrs,"[""Gurgaon/Gurugram""]",Not disclosed,PowerPoint,"[""Business Presentations"",""Public Speaking"",""power point presentation"",""corporate communication"",""interpersonal skills"",""interpersonal"",""presentation"",""powerpoint""]",Public Speaker / Business Presentation Specialist- Gurgaon Location,https://www.naukri.com/job-listings-public-speaker-business-presentation-specialist-gurgaon-location-couverture-management-consultants-gurgaon-gurugram-0-to-3-years-150323009835
643b9a20d01321d35da3b07a,0-1 Yrs,"[""Mumbai""]",Not disclosed,PowerPoint,"[""management"",""ms office"",""brand"",""ms office suite"",""conceptualization"",""brand strategy"",""usage"",""design""]",PowerPoint Specialist Trainee,https://www.naukri.com/job-listings-powerpoint-specialist-trainee-havas-media-india-pvt-ltd-mumbai-0-to-1-years-270422501022
643b9a20d01321d35da3b07b,3-5 Yrs,"[""New Delhi""]",Not disclosed,PowerPoint,"[""powerpoint"",""Powerpoint Specialist"",""PPT Specialist""]",Powerpoint Specialist,https://www.naukri.com/job-listings-powerpoint-specialist-value-360-communications-new-delhi-3-to-5-years-230323003856
